timestamp_sec,timestamp_nsec,frame_id,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
19,413000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,-0.015625,-0.28515625,9.80859375
19,438000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,-0.015625,-0.28515625,9.80859375
19,463000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,-0.015625,-0.28515625,9.80859375
19,488000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,0.0234375,-0.28515625,9.8046875
19,513000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,0.0234375,-0.28515625,9.8046875
19,538000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,0.0234375,-0.28515625,9.84765625
19,563000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,-0.015625,-0.28515625,9.80859375
19,588000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,-0.015625,-0.24609375,9.80859375
19,613000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,-0.015625,-0.24609375,9.80859375
19,638000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,-0.015625,-0.24609375,9.80859375
19,663000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,0.0234375,-0.24609375,9.8046875
19,688000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,0.0234375,-0.24609375,9.8046875
19,713000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,-0.015625,-0.28515625,9.80859375
19,738000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,-0.015625,-0.28515625,9.80859375
19,763000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,-0.015625,-0.28515625,9.80859375
19,788000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,0.0,0.0,-0.015625,-0.28515625,9.80859375
19,813000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,-0.001953125,0.001953125,-0.015625,-0.28515625,9.80859375
19,838000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,-0.001953125,0.001953125,-0.015625,-0.28515625,9.80859375
19,863000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,-0.001953125,0.001953125,0.0234375,-0.28515625,9.8046875
19,888000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.0,-0.001953125,0.001953125,-0.015625,-0.28515625,9.80859375
19,913000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.001953125,0.0,-0.001953125,-0.015625,-0.28515625,9.80859375
19,938000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.001953125,0.0,-0.001953125,0.0234375,-0.24609375,9.84765625
19,963000000,imu2_frame,-0.01446533203125,0.00067138671875,0.0001220703125,0.9998779296875,0.001953125,0.0,-0.001953125,-0.015625,-0.28515625,9.80859375
