timestamp_sec,timestamp_nsec,frame_id,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
937,324000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,0.001953125,0.0,0.0,0.61328125,-0.11328125,9.421875
937,344000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,0.0,0.0,0.0,0.61328125,-0.11328125,9.421875
937,364000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,0.0,0.0,0.0,0.61328125,-0.078125,9.46484375
937,384000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,0.0,0.0,0.0,0.61328125,-0.11328125,9.46484375
937,404000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,-0.00390625,0.0,0.0,0.61328125,-0.11328125,9.46484375
937,424000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,-0.00390625,0.0,0.0,0.61328125,-0.11328125,9.46484375
937,444000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,-0.00390625,0.0,0.0,0.61328125,-0.078125,9.421875
937,464000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,-0.00390625,0.0,0.0,0.61328125,-0.078125,9.421875
937,484000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,0.0,0.0,0.0,0.61328125,-0.078125,9.421875
937,504000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,0.0,0.0,0.0,0.61328125,-0.078125,9.46484375
937,524000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,0.0,0.0,0.0,0.61328125,-0.078125,9.46484375
937,544000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,0.0,0.0,0.0,0.61328125,-0.078125,9.421875
937,564000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,-0.001953125,0.0,-0.001953125,0.61328125,-0.078125,9.421875
937,584000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,-0.001953125,0.0,-0.001953125,0.61328125,-0.078125,9.46484375
937,604000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,-0.001953125,0.0,-0.001953125,0.61328125,-0.078125,9.46484375
937,624000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,-0.001953125,0.0,-0.001953125,0.61328125,-0.078125,9.46484375
937,644000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,0.0,0.0,0.0,0.61328125,-0.078125,9.46484375
937,664000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,0.0,0.0,0.0,0.61328125,-0.11328125,9.46484375
937,684000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,0.0,0.0,0.0,0.61328125,-0.078125,9.421875
937,704000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,0.0,0.0,0.0,0.61328125,-0.078125,9.46484375
937,724000000,imu2_frame,-0.0042724609375,-0.02801513671875,0.0760498046875,0.9967041015625,-0.00390625,0.0,-0.001953125,0.61328125,-0.078125,9.46484375
